"name","label","description","content","url","link","local","cats","analyse","text"
        ""entreprise"",
        2
      ],
      [
        ""secteur"",
        2
      ],
      [
        ""face"",
        2
      ],
      [
        ""integrate"",
        2
      ],
      [
        ""press"",
        2
      ],
      [
        ""conference"",
        2
      ],
      [
        ""blockchain"",
        2
      ],
      [
        ""like"",
        2
      ],
      [
        ""surface"",
        2
      ],
      [
        ""pro"",
        2
      ],
      [
        ""arction"",
        2
      ],
      [
        ""amazon"",
        2
      ],
      [
        ""ibm"",
        2
      ],
      [
        ""artificial"",
        2
      ],
      [
        ""intelligence"",
        2
      ],
      [
        ""said"",
        2
      ],
      [
        ""dystopian"",
        2
      ],
      [
        ""without"",
        2
      ],
      [
        ""gartner"",
        2
      ],
      [
        ""passes"",
        2
      ],
      [
        ""around"",
        2
      ],
      [
        ""zain"",
        2
      ],
      [
        ""died"",
        2
      ],
      [
        ""price"",
        2
      ],
      [
        ""magazine"",
        2
      ],
      [
        ""standard"",
        2
      ],
      [
        ""forbes"",
        2
      ],
      [
        ""sattya"",
        2
      ],
      [
        ""isbn"",
        2
      ],
      [
        ""htt"",
        2
      ],
      [
        ""lirelire"",
        2
      ],
      [
        ""telugu"",
        2
      ],
      [
        ""nadla"",
        2
      ],
      [
        ""false"",
        2
      ],
      [
        ""studious"",
        2
      ],
      [
        ""hardworking"",
        2
      ],
      [
        ""boy"",
        2
      ],
      [
        ""goal"",
        2
      ],
      [
        ""dad"",
        2
      ],
      [
        ""dna"",
        2
      ],
      [
        ""remembering"",
        2
      ],
      [
        ""helped"",
        2
      ],
      [
        ""become"",
        2
      ],
      [
        ""successful"",
        2
      ],
      [
        ""economictimes"",
        2
      ],
      [
        ""nadellas"",
        2
      ],
      [
        ""cms"",
        2
      ],
      [
        ""mdr"",
        2
      ],
      [
        ""ministry"",
        2
      ],
      [
        ""lire"",
        2
      ],
      [
        ""ever"",
        2
      ],
      [
        ""stop"",
        2
      ],
      [
        ""learning"",
        2
      ],
      [
        ""article"",
        2
      ],
      [
        ""mit"",
        2
      ],
      [
        ""thrilled"",
        2
      ],
      [
        ""head"",
        2
      ],
      [
        ""articles"",
        2
      ],
      [
        ""cricket"",
        2
      ],
      [
        ""shy"",
        2
      ],
      [
        ""technological"",
        2
      ],
      [
        ""change"",
        2
      ],
      [
        ""throwing"",
        2
      ],
      [
        ""espncricinfo"",
        2
      ],
      [
        ""next"",
        2
      ],
      [
        ""could"",
        2
      ],
      [
        ""uwm"",
        2
      ],
      [
        ""bizjournals"",
        2
      ],
      [
        ""biography"",
        2
      ],
      [
        ""rise"",
        2
      ],
      [
        ""indo"",
        2
      ],
      [
        ""biharprabha"",
        2
      ],
      [
        ""changer"",
        2
      ],
      [
        ""rien"",
        2
      ],
      [
        ""juillet"",
        2
      ],
      [
        ""bitpay"",
        2
      ],
      [
        ""aggressive"",
        2
      ],
      [
        ""global"",
        2
      ],
      [
        ""vision"",
        2
      ],
      [
        ""sector"",
        2
      ],
      [
        ""needs"",
        2
      ],
      [
        ""prevent"",
        2
      ],
      [
        ""pay"",
        2
      ],
      [
        ""package"",
        2
      ],
      [
        ""bloomberg"",
        2
      ],
      [
        ""meet"",
        2
      ],
      [
        ""wife"",
        2
      ],
      [
        ""gave"",
        2
      ],
      [
        ""green"",
        2
      ],
      [
        ""card"",
        2
      ],
      [
        ""empathy"",
        2
      ],
      [
        ""fortune"",
        2
      ],
      [
        ""birth"",
        1
      ],
      [
        ""name"",
        1
      ],
      [
        ""tongue"",
        1
      ],
      [
        ""\u0c2f\u0c38\u0c28"",
        1
      ],
      [
        ""nationality"",
        1
      ],
      [
        ""activity"",
        1
      ],
      [
        ""period"",
        1
      ],
      [
        ""spouse"",
        1
      ],
      [
        ""worked"",
        1
      ],
      [
        ""website"",
        1
      ],
      [
        ""detailed"",
        1
      ],
      [
        ""pravasi"",
        1
      ],
      [
        ""bharatiya"",
        1
      ],
      [
        ""samman"",
        1
      ],
      [
        ""narayana"",
        1
      ],
      [
        ""inde"",
        1
      ],
      [
        ""general"",
        1
      ],
      [
        ""previously"",
        1
      ],
      [
        ""particular"",
        1
      ],
      [
        ""management"",
        1
      ],
      [
        ""platforms"",
        1
      ],
      [
        ""servers"",
        1
      ],
      [
        ""workstations"",
        1
      ],
      [
        ""dematerialized"",
        1
      ],
      [
        ""citizenship"",
        1
      ],
      [
        ""imeusse"",
        1
      ],
      [
        ""studies"",
        1
      ],
      [
        ""state"",
        1
      ],
      [
        ""andhra"",
        1
      ],
      [
        ""pradesh"",
        1
      ],
      [
        ""hindu"",
        1
      ],
      [
        ""hindoue"",
        1
      ],
      [
        ""speaking"",
        1
      ],
      [
        ""prabhavati"",
        1
      ],
      [
        ""speaker"",
        1
      ],
      [
        ""sri"",
        1
      ],
      [
        ""padmaavathi"",
        1
      ],
      [
        ""college"",
        1
      ],
      [
        ""tps"",
        1
      ],
      [
        ""servant"",
        1
      ],
      [
        ""within"",
        1
      ],
      [
        ""nadelfamily"",
        1
      ],
      [
        ""public"",
        1
      ],
      [
        ""ias"",
        1
      ],
      [
        ""long"",
        1
      ],
      [
        ""secretary"",
        1
      ],
      [
        ""former"",
        1
      ],
      [
        ""prime"",
        1
      ],
      [
        ""ministers"",
        1
      ],
      [
        ""narasimha"",
        1
      ],
      [
        ""rao"",
        1
      ],
      [
        ""manmohan"",
        1
      ],
      [
        ""singh"",
        1
      ],
      [
        ""studied"",
        1
      ],
      [
        ""school"",
        1
      ],
      [
        ""obtain"",
        1
      ],
      [
        ""engineering"",
        1
      ],
      [
        ""diploma"",
        1
      ],
      [
        ""electronics"",
        1
      ],
      [
        ""communication"",
        1
      ],
      [
        ""expatriate"",
        1
      ],
      [
        ""expatri"",
        1
      ],
      [
        ""states"",
        1
      ],
      [
        ""obtains"",
        1
      ],
      [
        ""master"",
        1
      ],
      [
        ""science"",
        1
      ],
      [
        ""wisconsin"",
        1
      ],
      [
        ""universit"",
        1
      ],
      [
        ""mba"",
        1
      ],
      [
        ""chicago"",
        1
      ],
      [
        ""unnannersit"",
        1
      ],
      [
        ""carri\u00e8re"",
        1
      ],
      [
        ""travaille"",
        1
      ],
      [
        ""ing\u00e9nieur"",
        1
      ],
      [
        ""technique"",
        1
      ],
      [
        ""avant"",
        1
      ],
      [
        ""rejoindre"",
        1
      ],
      [
        ""groupe"",
        1
      ],
      [
        ""crosoft"",
        1
      ],
      [
        ""veazion"",
        1
      ],
      [
        ""odifier"",
        1
      ],
      [
        ""queues"",
        1
      ],
      [
        ""rejoint"",
        1
      ],
      [
        ""fait"",
        1
      ],
      [
        ""partie"",
        1
      ],
      [
        ""thirty"",
        1
      ],
      [
        ""immigrants"",
        1
      ],
      [
        ""indienes"",
        1
      ],
